12 48 27 18 44 45 29 36 76 88 74 90 83 54 | 3
7 22 18 1 5 66 32 83 80 79 | 4
13 49 42 70 28 35 2 5 7 6 82 90 80 87 | 3
75 86 12 20 58 23 33 18 43 1 61 3 38 64 7 80 95 14 | 5
20 54 6 51 61 47 91 92 86 | 2
99 21 33 42 44 28 43 77 98 94 | 4
23 45 37 50 53 41 1 61 75 88 67 69 93 81 97 78 | 2
27 16 38 44 29 3 63 84 82 69 80 95 97 | 6
26 38 58 48 75 53 3 65 66 91 100 87 78 | 7
17 22 23 37 56 51 29 63 96 | 4
14 43 35 52 64 65 21 91 90 50 | 3
5 4 3 2 1 | 2
59 58 48 23 50 52 60 75 2 64 34 21 | 6
52 12 15 16 32 51 50 34 68 88 83 91 8 92 94 97 | 3
22 33 18 57 56 3 75 64 4 70 83 95 8 | 4
11 25 47 31 45 51 34 88 73 9 8 44 79 28 | 7
13 21 22 98 75 48 91 90 100 81 | 6
10 39 58 17 18 31 28 41 60 3 64 71 6 80 | 3
25 59 61 19 51 76 75 6 91 69 80 84 | 6
12 59 19 44 30 40 1 46 38 64 65 7 9 83 100 86 93 4 | 7
55 32 31 50 41 62 5 65 71 92 86 29 4 | 2
75 11 14 17 46 18 45 43 88 8 81 79 58 | 7
11 10 39 12 20 58 23 55 30 29 41 99 70 86 50 | 6
24 10 58 33 32 40 34 7 86 | 5
11 25 22 17 55 18 37 72 71 24 69 80 87 28 | 2
24 12 71 46 99 73 7 6 82 100 | 3
38 59 17 22 54 56 35 60 75 65 91 80 96 78 | 7
27 20 84 23 63 47 45 37 61 89 65 83 12 92 94 79 | 3
25 39 27 81 21 17 76 33 23 1 98 62 73 4 92 95 | 8
75 26 47 37 43 28 88 4 7 68 86 94 72 | 4
77 58 17 35 60 74 6 93 94 97 | 4
10 26 19 47 51 53 52 77 76 66 82 92 95 85 | 2
60 58 22 55 47 44 30 42 34 77 46 74 17 18 82 100 93 84 78 | 2
39 27 21 17 19 51 40 61 6 93 92 96 | 6
38 58 22 33 47 51 60 8 80 87 14 | 6
20 71 22 23 19 55 62 56 28 29 61 75 5 7 67 8 73 79 85 | 7
21 46 32 31 30 37 29 36 99 94 | 6
1 13 49 18 57 30 50 77 89 64 32 9 8 100 31 | 5
39 57 56 43 53 34 99 74 94 78 95 87 85 | 5
21 17 51 53 99 3 35 68 8 97 | 4
