2;-5 -4 -3 -1
1;-5 -4 -3 -1 0
29;-98 -96 -76 -53 63 12 15 -41 35 -72 -21 -4 -62 79 36 46 22 29 40 -43 -63 32 94 -81 -26 79 62 36 -39 -99 -90 78 76 -8 -25 40 67 -11 -23 -11 -66 90 -22 -53 25 -74 22 -54 14 -20 68 -45 84 83 98 8 -45 -72 68 19 24 61 76 87 76 68 -19 -30 34 -60 6 56 56 50 19 47 14 17 -60 96 -16 25
22;-39 -24 76 -7 -10 7 -10 -59 54 65 -52 -27 -89 30 7 6 -55 48 -83 87 -92 -36 62 -65 66 -73 -71 -34 10 -56 -54 95 30 -75 -10 -65 52 4 28 79 2 7 81 -98 98 -7 -5 32 84 -9 -18 6 40 68 -64 -67 10 93 -68 32 -73 73 -60 64 22 25 42 -34 43 88 -93 -55 99 12 44 -63 85 94
46;-7 77 32 -80 -92 -74 64 -96 -32 -55 97 44 -29 -35 78 -45 -6 -92 15 -27 0 25 -60 -9 85 6 -81 -38 84 91 80 -82 -10 52 -75 -56 -84 -6 97 15 -73 -67 79 -83 22 -93 -31 -55 58 45 -20 55 -56 70 8 21 -70 73 17 -93 -83 70 -36 -50 19 49 -71 5 -7 -77 -42 -49 48 -96 -54 -92 94 79 92 -88 -33 89 -25 6 -54 -80 -32 13 -7 -73 -92 -91 -32 -20
39;-83 89 -37 -43 32 42 70 6 32 94 83 80 -60 -89 -65 -57 -93 22 52 38 16 21 -99 -81 -63 54 -31 -18 -53 27 67 93 -48 11 53 75 -43 -96 -6
10;-89 53 -94 -46 -49 35 -6 -56 23 -58 47 21 -9 -88 92 -62 -44 -3 -61 66 -25 -92 34 -81 -86 86 91 -24 -21 -11 12 -59 40 42 -6 52 -61 -31 12 42 -17 82 -42 -14 -90 25 41
40;-95 -98 23 -50 94 -7 40 42 38 81 77 57 -26 -39 -23 33 24 -83 -52 16 -22 -5 76 64 72 69 -21 87 10 -3 -38 12 32 68 -92 22 41 -81 -79 32 15 55 -30 -98 -20 -45 -69 70 -32 -80 6 -82 -72
36;-97 27 -27 84 49 35 -42 34 -20 -33 -60 95 -4 11 98 51 48 -11 96 87 -69 -8 -26 51 25 -29 87 -91 -86 28 90 8 41 61 33 87 -75 -81 -65 1 -79 20 -38 98 34 45 -22 67 -80 7 67 -84 68 -49 89 -43 -63 -91 31 -22 -93 79 86 59 51 22 20 -25 -67 53 -5 35 75 26 45 -77 69
47;37 21 6 -84 -60 77 -53 -13 2 -99 -46 -54 -36 -41 38 84 3 93 -21 56 91 -92 5 48 57 79 75 -6 89 -2 -20 83 5 -75 5 31 72 -41 32 -17 -28 -39 72 -81 -17 -83 67 11 -8 -42 20 -21 -11 -96 -65 43 -35 96 79 35 -46 -33 -31 38 4 -70 -67 -51 81
45;88 -84 39 88 52 -14 90 -91 50 -3 -53 -73 33 41 -17 90 91 -10 -89 -68 -42 -87 96 97 16 85 -32 71 -12 5 50 -88 16 -4 -80 -44 18 9 63 -51 32 99 -29 76 97 23 2 -68 38 -39 70 31 -40 30 -52 34 57 -16 25 -21 -6 67 91 76 43 62 -12 -89 -45 -99 88 -92 -99 97 97 38 -75
6;-44 89 21 18 20 90 63 15 -53 65 7 -9 22 -94
12;77 41 -41 1 57 56 61 -53 3 -4 -26 -49 -75 73 -1 76 -81 -85 -65 -90 60 -8 -94 -6 91 -55 -15 78 37 86 19 -90 52 -2 9 78 -66 4 21 73 47 -62 31 27 -59 72 15 -13 -84 64 -41 26 -38 -38 -88 -82 -2
35;60 47 64 -59 84 93 -39 -34 95 -66 50 -13 72 -41 70 -10 -5 -27 -78 -9 -40 44 -92 -89 27 -67 -80 41 -92 42 -56 67 98 -49 -18 30 -71 -95 8 71 88 -74 17 -26 -33 1 -9 -9 -16 -21 98 -14 50 22 -97 -13 61 -1 0 99 79 18 -83 16 73 -69 -17 -94 -19 56 -86 98 -47 37 -73 47 -10 44 53 -6 18 -89
13;-23 31 79 69 -9 -5 -11 26 67 -85 71 37 94 25 11 39 -42 -38 -68 -9 11 33 -19 -14 -91 -12 -7 -35 -18 -34 -46 52 -9 13 8 -53 -10 63 -63 -30 -47 -28 16 -62 -13 -4 -99 3 -42
4;48 22 -5 -80 -9 -45 -35 -21 26 86 -42 73 -82 -77 -30 -67 -35 -91 9 42 54 25 -97 -10 59 93 44 -9 4 -68 25 4 -30 -21 -9 -90 90 -9 -83 58 -86 -29 44 72 -56
32;-56 73 66 -74 29 94 -80 -80 -55 49 -98 42 -41 -81 -76 72 -63 -22 -63 -88 67 -30 86 5 -3 -52 -19 -24 49 -24 -59 86 -32 2 20 -67 91 71 -29 38 15 15 -15 81 -14 61 16 75 -21 89 -92 42 90 -89 37 8 -68 -65 74 23 -25
12;70 -15 -73 -86 -37 73 32 -86 25 -29 -63 31 3 -61 39 -68 -88 62 -36 -50 21 -66 34 -56 -41 40 86 81 -42 84
