2;-5 -4 -3 -1
1;-5 -4 -3 -1 0
43;50 -35 54 -43 -61 29 83 -3 87 71 -36 -64 -48 64 11 40 -53 87 -96 21 -21 -49 26 -52 63 -5 97 -20 45 -87 85 33 -10 67 38 67 -29 -6 -44 -94 -18 -77 -3 47 -15 -27 -75 -47 -48 -46 -94 -35 -4 -43 7 4 -74 39 -18 25 -29 16 -4 33 -4 -70 80 -85 -25 -6 -20 42 6 -42 -48 -66 94 5 -15 80 -91 -50 -21 84 11 2 23 -95 64 -7 -35 19 73 10 -33 -20 -52 -72 22
2;-69 40 -89 -77 5 42 88 48 -95 12 70 -69 10 -26 -32 22 -32 -14 -14 97 55 10 82 -96 65 62 62 -11 -82 -51 80 -89 -70 57 87 -21 61 22 45 -72 51 88 -13 -49 42 -77 -32 -1 -34 66 -13 54 -94 -74 35 -93 24 -23 -56 -15 22 14 70 -62 40 -91 1 -48 -29 17 59 86 26 85 88 -1 -56 -6 72 -50 -78 -71 -48 -93 -77 89 -7 -34 51 -46
46;64 15 -57 -22 -44 -74 53 69 -65 -27 -68 95 60 26 -21 -3 -39 -20 62 -48 -17 43 -59 92 72 -14 65 -3 37 -88 36 41 29 -61 -9 67 -91 -95 68 9 59 30 12 80 71 -13 1 -59 53 12 -27 -67 82
47;-73 48 -61 -38 -10 -16 18 -26 71 -75 -93 8 -81 -58 8 -73 51 -13 -60 40 -12 -80 -33 61 -18 12 16 90 -40 -77 39 78 -74 71 66 10 -83 -20 26 73 5 -94 2 61 13 26 95 31 94 46 -68 -8 -43 -79 -46 -55 75 34 43
47;-57 -63 93 12 96 -76 -66 61 -39 -11 12 -37 -90 -37 36 -97 73 68 82 9 -4 85 -3 36 -32 64 -26 -99 38 -61 -62 -25 -26 47 41 -34 -45 17 -15 -93 72 -15 -79 -72 -3 4 17 -98 47 3 -51 -5 63 -94 -44 -50 58 -23 17 48 -25 23 55 0 -57 -93 95 38 51 -65 16 21 -55 18 -3 26 53 40 -50 97
23;33 98 -6 60 -82 22 3 16 -98 -84 -72 68 -54 -55 -10 -58 81 -9 -16 -70 2 -39 -89 -2 8 -92 -22 -45 -26 60 -83 -33 49 -14 35 -30 25 99 -75 -25 -10 -97 -77 45 -27 -65 -17 74 64 93 42 -85 1 -88 26 32 22 -72 -13 92 -91 33 -42 9 62 42 7 79
29;-62 -69 -63 -24 50 90 83 41 80 -27 93 -16 62 -46 25 23 10 46 41 -14 70 28 -36 47 23 -86 -33 4 44 -37 -55 74 92 -27 -71 43 -33 65 -49 91 93 -34 -92 -4 -4 66 82 85 91 -49 52 -73 39 -20 46 29 -82 60 -55 -26 -98 -99 8 26 -3 -3 -9 72 10 86
4;53 -39 -46 -38 -1 7 73 19 94 -91 72 97 66 65 -31 -54 73 63 95 -9
13;34 -52 16 80 83 99 16 -83 -2 -77 -12 -85 8 -66 -88 58 -14 -3 -10 4 -26 59 45 -86 25 60 57 11 39 -51 -84 -35 -72 -81 -47 61 28 -35 69 59 2 70 23 -35 -3 12 -77 49 58 38 41 25 67 -26 11 -72 98 8 -27 44 -25 -54 16 4 -63 86 3 -61 0 84 55 -62 83 98 -24 -36 72 93 -92 -15 -27 -40
29;-10 26 82 78 -58 -62 38 -12 36 -87 -12 -16 -95 42 -85 22 -22 -33 -56 84 -48 -94 -4 2 -85 62 -7 11 -22 69 -79 42 -71 -24 -2 -91 -90 -99 0 -23 63 -45 -47 2 26 -67 -69 43 -66 -95 -27 -92 -65 -67 96 91 67 83 -29 36 74 76 31 -88 88 26 -42 1 13 32 77 -59 -87 -19 -17 -53 2 -70 -25 -78 -79 -81 -50 69 0 38 -79 47 60 -17
13;54 22 -33 -69 -13 -1 -33 -74 -57 -58 -9 -45 89 96 -62 83 73 -48 -69 -3 -4 -18 71 36 -62 80 -55 -50 46 77 35 -45 43 -60 53 -14 59 69 -3 -7 49 66 -28 2 -43 20 75 -3 -86 16 12 97 47 -48 93 -48 31 95 -92 -33 16 -46 -88 -59 28 -48 -54 -95 -98 -89 -59 -62 -97 18 85
44;-86 -38 49 -80 -26 -27 -17 -41 -44 59 -89 41 -46 -80 48 -23 -70 -91 -29 -30 12 -86 -22 82 34 38 -79 48 80 39 37 98 6 -3 83 26 12 65 -68 -22 14 -33 -90 9 61 -18 -90 95 69 -82 -63 16 -50 -93 42 53 -9 -39 -11 -52 -61 -60 -46 42 -46 67 -21 -71 26 2 28 7 -13 46 82 -78 18 91 -14 17 50 2 -95 -62 73 -45 -76 87 96 -40 44 -63 73
35;37 0 13 16 -5 -12 62 -66 -85 -30 35 -84 -12 8 82 69 56 40 -69 24 80 48 52 2 38 -86 -10 -66 -66 7 93 -16 5 -11 74 19 -55 46 -99 36 -93 24 -7 -75 68 5 14 -45 -33 48 23 66 72 12 -54 8 -5 66 -92 98 -77 -7 61 22 -51 13
